Date, Open, High, Low, Close, Volume
11/08/23, 6375, 6400, 6225, 6350, 9500200
11/07/23, 6350, 6400, 6325, 6375, 8637700
11/06/23, 6375, 6425, 6325, 6350, 11673400
11/03/23, 6500, 6550, 6325, 6375, 17258699
11/02/23, 6700, 6700, 6475, 6475, 14730300
11/01/23, 6700, 6950, 6600, 6650, 17099100
10/31/23, 6725, 6750, 6600, 6650, 5296800
10/30/23, 6750, 6775, 6625, 6725, 7559900
10/27/23, 6750, 6800, 6700, 6750, 3881200
10/26/23, 6750, 6825, 6625, 6750, 13444300
10/25/23, 6725, 6825, 6725, 6750, 3305700
10/24/23, 6600, 6800, 6600, 6725, 5377200
10/23/23, 6700, 6725, 6600, 6600, 6392900
10/20/23, 6725, 6750, 6650, 6675, 6088900
10/19/23, 6800, 6800, 6700, 6750, 8549100
10/18/23, 6850, 6850, 6750, 6800, 7376100
10/17/23, 6750, 6850, 6725, 6850, 6085400
10/16/23, 6700, 6775, 6675, 6725, 7106700
10/13/23, 6750, 6775, 6700, 6700, 3865100
10/12/23, 6750, 6850, 6725, 6725, 7306700
10/11/23, 6825, 6900, 6750, 6750, 14465700
10/10/23, 6900, 6950, 6800, 6800, 4761400
10/09/23, 6900, 6925, 6800, 6850, 6425200
10/06/23, 6925, 7100, 6850, 6875, 11936900
10/05/23, 6775, 6975, 6725, 6875, 15362100
10/04/23, 6725, 6775, 6675, 6750, 10500800
10/03/23, 6750, 6825, 6725, 6725, 8195800
10/02/23, 6625, 6800, 6625, 6750, 6077200
09/29/23, 6750, 6775, 6625, 6625, 10802800
09/27/23, 6700, 6775, 6650, 6750, 6313500
09/26/23, 6775, 6800, 6700, 6700, 8020900
09/25/23, 6800, 6825, 6700, 6775, 11157300
09/22/23, 6700, 6800, 6700, 6775, 8640500
09/21/23, 6800, 6875, 6650, 6700, 14277900
09/20/23, 6675, 6925, 6675, 6800, 13558600
09/19/23, 6600, 6700, 6600, 6675, 5230000
09/18/23, 6750, 6750, 6575, 6600, 10488700
09/15/23, 6700, 6750, 6650, 6750, 16267700
09/14/23, 6850, 6875, 6700, 6700, 14765100
09/13/23, 6850, 6900, 6800, 6900, 7498200
09/12/23, 6975, 6975, 6825, 6850, 7691500
09/11/23, 6925, 6950, 6875, 6950, 4051500
09/08/23, 6975, 6975, 6875, 6925, 6631800
09/07/23, 6875, 6950, 6850, 6950, 11387100
09/06/23, 6850, 6900, 6825, 6875, 11380400
09/05/23, 6900, 6900, 6825, 6850, 9101400
09/04/23, 7000, 7050, 6875, 6900, 10757100
09/01/23, 7100, 7100, 7000, 7000, 7093600
08/31/23, 7050, 7100, 7025, 7100, 8339000
08/30/23, 7150, 7175, 7025, 7050, 6222700
08/29/23, 7150, 7200, 7100, 7150, 7986000
08/28/23, 7125, 7175, 7075, 7100, 3667400
08/25/23, 7025, 7150, 7000, 7125, 6990900
08/24/23, 7075, 7125, 7025, 7025, 5008100
08/23/23, 7000, 7150, 7000, 7075, 8107300
08/22/23, 6975, 7050, 6975, 7000, 3011900
08/21/23, 7050, 7050, 6950, 7000, 7689000
08/18/23, 7050, 7100, 7000, 7050, 6531000
08/16/23, 7000, 7100, 6975, 7100, 7713000
08/15/23, 7050, 7050, 6950, 7000, 5207500
08/14/23, 7050, 7075, 6975, 7050, 9921900
08/11/23, 7100, 7100, 7000, 7050, 10644900
08/10/23, 6975, 7100, 6975, 7075, 11468600
08/09/23, 7000, 7000, 6925, 6975, 8377200
08/08/23, 7025, 7100, 6975, 7000, 11764600
08/07/23, 7100, 7125, 7050, 7075, 6723400
08/04/23, 7050, 7100, 7000, 7050, 3234300
08/03/23, 7050, 7125, 7000, 7050, 7667100
08/02/23, 7000, 7050, 6900, 7050, 10482500
08/01/23, 7275, 7275, 7000, 7000, 15284400
07/31/23, 7325, 7375, 7250, 7325, 10226200
07/28/23, 7275, 7325, 7200, 7325, 6679800
07/27/23, 7175, 7325, 7175, 7250, 4790800
07/26/23, 7175, 7250, 7150, 7175, 6788300
07/25/23, 7325, 7325, 7175, 7175, 7641300
07/24/23, 7350, 7350, 7275, 7275, 2613300
07/21/23, 7325, 7350, 7250, 7325, 4121300
07/20/23, 7350, 7375, 7250, 7325, 4843300
07/18/23, 7325, 7350, 7225, 7350, 5785000
07/17/23, 7425, 7450, 7300, 7300, 8103500
07/14/23, 7475, 7550, 7425, 7450, 8083900
07/13/23, 7400, 7525, 7400, 7450, 13443000
07/12/23, 7325, 7475, 7275, 7400, 7082100
07/11/23, 7250, 7325, 7250, 7300, 6802300
07/10/23, 7300, 7325, 7250, 7250, 5040100
07/07/23, 7300, 7350, 7225, 7275, 13723700
07/06/23, 7425, 7475, 7375, 7450, 18386199
07/05/23, 7375, 7475, 7350, 7425, 9377600
07/04/23, 7275, 7375, 7250, 7375, 7371300
07/03/23, 7350, 7375, 7225, 7250, 13041000
06/27/23, 7350, 7350, 7250, 7350, 5117500
06/26/23, 7350, 7425, 7300, 7325, 10303900
06/23/23, 7250, 7400, 7250, 7300, 6846700
06/22/23, 7375, 7400, 7225, 7225, 6933500
06/21/23, 7175, 7400, 7175, 7375, 9866600
06/20/23, 7375, 7375, 7125, 7150, 15719800
06/19/23, 7275, 7400, 7275, 7400, 12730100
06/16/23, 7425, 7475, 7275, 7275, 20763801
06/15/23, 7450, 7475, 7400, 7450, 6013200
06/14/23, 7350, 7450, 7350, 7425, 7028600
06/13/23, 7475, 7475, 7350, 7350, 6909100
06/12/23, 7450, 7475, 7425, 7450, 9202800
06/09/23, 7325, 7475, 7325, 7425, 7957200
06/08/23, 7500, 7500, 7375, 7425, 7128700
06/07/23, 7425, 7475, 7400, 7450, 12319100
06/06/23, 7275, 7475, 7250, 7375, 20433801
06/05/23, 7200, 7275, 7150, 7250, 16147500
05/31/23, 7175, 7275, 7100, 7100, 19676199
05/30/23, 7175, 7200, 7150, 7150, 4831300
05/29/23, 7200, 7275, 7125, 7200, 8783500
05/26/23, 7100, 7250, 7100, 7200, 12859400
05/25/23, 6975, 7175, 6950, 7100, 16679600
05/24/23, 6950, 6975, 6875, 6950, 8631000
05/23/23, 6900, 6975, 6900, 6950, 14414800
05/22/23, 6950, 7000, 6875, 6900, 9925600
05/19/23, 6800, 6950, 6775, 6950, 11381900
05/17/23, 6825, 6850, 6725, 6800, 8442300
05/16/23, 6725, 6850, 6700, 6825, 13002500
05/15/23, 6725, 6775, 6675, 6725, 6323300
05/12/23, 6800, 6800, 6700, 6725, 7268400
05/11/23, 6900, 6900, 6750, 6800, 4955500
05/10/23, 6850, 6900, 6800, 6900, 8697100
05/09/23, 6875, 6900, 6775, 6825, 9120600
05/08/23, 6700, 6875, 6675, 6875, 15963300
05/05/23, 6650, 6700, 6575, 6700, 5936500
05/04/23, 6600, 6700, 6550, 6625, 12340100
05/03/23, 6775, 6800, 6550, 6650, 18858699
05/02/23, 6475, 6500, 6400, 6500, 8926500
04/28/23, 6425, 6500, 6400, 6450, 11951800
04/27/23, 6475, 6500, 6375, 6425, 8313600
04/26/23, 6400, 6500, 6375, 6500, 14098900
04/18/23, 6400, 6400, 6325, 6350, 4925300
04/17/23, 6325, 6400, 6275, 6325, 10792700
04/14/23, 6275, 6400, 6275, 6300, 7079400
04/13/23, 6300, 6325, 6275, 6275, 3999700
04/12/23, 6325, 6350, 6250, 6275, 6316800
04/11/23, 6325, 6350, 6250, 6350, 4139000
04/10/23, 6275, 6325, 6200, 6325, 4641500
04/06/23, 6300, 6350, 6250, 6250, 6684600
04/05/23, 6375, 6375, 6275, 6275, 6608100
04/04/23, 6175, 6350, 6175, 6350, 6101600
04/03/23, 6200, 6250, 6175, 6175, 6302300
03/31/23, 6400, 6425, 6200, 6200, 15209700
03/30/23, 6400, 6475, 6350, 6400, 7314600
03/29/23, 6400, 6475, 6350, 6350, 7604900
03/28/23, 6375, 6450, 6350, 6375, 6391700
03/27/23, 6425, 6425, 6350, 6375, 7332800
03/24/23, 6200, 6400, 6175, 6325, 12267700
03/21/23, 6225, 6225, 6125, 6125, 6105800
03/20/23, 6125, 6200, 6125, 6200, 2326500
03/17/23, 6150, 6225, 6100, 6125, 12006100
03/16/23, 6100, 6175, 6050, 6150, 3192100
03/15/23, 6175, 6225, 6100, 6100, 5085700
03/14/23, 6150, 6225, 6125, 6175, 7089800
03/13/23, 6125, 6225, 6100, 6125, 5179700
03/10/23, 6150, 6200, 6100, 6125, 5466700
03/09/23, 6175, 6250, 6150, 6150, 5789000
03/08/23, 6250, 6275, 6150, 6150, 8063700
03/07/23, 6250, 6325, 6200, 6250, 7212200
03/06/23, 6300, 6325, 6250, 6250, 5131200
03/03/23, 6250, 6325, 6250, 6275, 7910700
